Borough,FIPS Code,NTACode,NTAName,Pop2010,TotalUnits2010,VacantUnits2010,PerVacantUnitsDec,PerVacantUnits
Bronx,5,BX01,Claremont-Bathgate,31078,10423,405,0.038856375,4%
Bronx,5,BX03,Eastchester-Edenwald-Baychester,34517,12514,650,0.051941825,5%
Bronx,5,BX05,Bedford Park-Fordham North,54415,19518,1045,0.053540322,5%
Bronx,5,BX06,Belmont,27378,9675,708,0.073178295,7%
Bronx,5,BX07,Bronxdale,35538,14495,609,0.042014488,4%
Bronx,5,BX08,West Farms-Bronx River,35011,12749,862,0.067613146,7%
Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,53686,19589,707,0.036091684,4%
Bronx,5,BX10,Pelham Bay-Country Club-City Island,26583,12473,750,0.060129881,6%
Bronx,5,BX13,Co-Op City,43752,19590,434,0.02215416,2%
Bronx,5,BX14,East Concourse-Concourse Village,62284,22595,1158,0.051250277,5%
Bronx,5,BX17,East Tremont,43423,15416,799,0.051829268,5%
Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,27860,12626,1028,0.081419294,8%
Bronx,5,BX26,Highbridge,37727,13275,618,0.046553672,5%
Bronx,5,BX27,Hunts Point,27204,9244,606,0.065556036,7%
Bronx,5,BX28,Van Cortlandt Village,50100,18670,711,0.038082485,4%
Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,30161,14707,1154,0.078466037,8%
Bronx,5,BX30,Kingsbridge Heights,32496,11112,655,0.058945284,6%
Bronx,5,BX31,Allerton-Pelham Gardens,28903,10237,666,0.065058122,7%
Bronx,5,BX33,Longwood,26196,9075,714,0.078677686,8%
Bronx,5,BX34,Melrose South-Mott Haven North,39214,13532,573,0.042344073,4%
Bronx,5,BX35,Morrisania-Melrose,37865,13492,961,0.071227394,7%
Bronx,5,BX36,University Heights-Morris Heights,54188,18961,1141,0.060176151,6%
Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,29250,10779,754,0.06995083,7%
Bronx,5,BX39,Mott Haven-Port Morris,52413,18144,1153,0.063547178,6%
Bronx,5,BX40,Fordham South,28262,9134,533,0.058353405,6%
Bronx,5,BX41,Mount Hope,51807,17588,1033,0.058733227,6%
Bronx,5,BX43,Norwood,40494,15026,738,0.049114868,5%
Bronx,5,BX44,Williamsbridge-Olinville,61321,23185,1653,0.071296097,7%
Bronx,5,BX46,Parkchester,29821,13327,377,0.028288437,3%
Bronx,5,BX49,Pelham Parkway,30073,12116,619,0.051089468,5%
Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,44167,17874,1209,0.067640148,7%
Bronx,5,BX55,Soundview-Bruckner,35634,12537,696,0.055515674,6%
Bronx,5,BX59,Westchester-Unionport,27248,9913,681,0.06869767,7%
Bronx,5,BX62,Woodlawn-Wakefield,42483,16677,1074,0.064400072,6%
