Month,Latitude,Longitude,PersonsKilled
January,40.5758147,-74.1197852,1
January,40.5968498,-74.062054,1
January,40.6339615,-74.0147538,1
January,40.6420312,-74.0951457,1
January,40.6502446,-73.9027344,1
January,40.6789568,-73.954126,1
January,40.6816856,-73.8715626,1
January,40.7030534,-73.9424961,1
January,40.7123691,-73.7939033,1
January,40.7385394,-73.8105031,1
January,40.74091,-73.7266443,1
January,40.7541768,-73.9845951,1
January,40.7644363,-73.7226787,1
January,40.7688772,-73.9489716,1
January,40.794651,-73.9717827,1
January,40.794651,-73.9717827,1
January,40.7959275,-73.9727176,1
January,40.8077723,-73.9454833,1
January,40.8396755,-73.871207,1
January,40.8533472,-73.881667,1
January,40.8642161,-73.8957945,1
February,40.578274,-73.9582594,1
February,40.6337945,-74.0113274,1
February,40.6667263,-73.9424445,1
February,40.6691965,-73.9621101,1
February,40.6757902,-73.9026791,1
February,40.6977532,-73.8139159,1
February,40.7116424,-73.9439099,1
February,40.7382624,-73.7989383,2
February,40.7468122,-73.891752,1
February,40.8310849,-73.8690808,1
March,40.5950296,-73.9547346,1
March,40.5992503,-73.9526071,1
March,40.6639058,-73.9509752,1
March,40.668818,-73.8989404,1
March,40.6746537,-73.9091555,1
March,40.6966162,-73.8162064,1
March,40.6985896,-73.8948489,1
March,40.7337398,-73.9548424,1
March,40.7416425,-73.9974342,1
March,40.7509782,-73.9347418,1
March,40.7634913,-73.8607772,1
March,40.7677542,-73.8319235,1
March,40.8057361,-73.9406446,1
March,40.8837907,-73.9116002,1
April,40.5770881,-73.9509957,1
April,40.6060442,-74.0633482,1
April,40.6118189,-73.9411628,1
April,40.6417288,-73.9076365,1
April,40.642134,-73.9293532,1
April,40.6513697,-73.9559072,1
April,40.6655218,-73.7446568,1
April,40.6655218,-73.7446568,1
April,40.6859635,-73.8565294,1
April,40.7015733,-73.9312919,1
April,40.7491025,-73.9920058,1
April,40.7646158,-73.9377969,1
April,40.7752455,-73.9476221,1
April,40.7792798,-73.9008742,4
April,40.7909397,-73.9472305,1
April,40.8229893,-73.8678032,1
April,40.8586838,-73.8473975,1
May,40.6094167,-73.9676868,1
May,40.6098096,-73.9224976,2
May,40.6119531,-73.9681646,1
May,40.6142465,-74.0065589,1
May,40.6152042,-73.9633618,1
May,40.6320498,-73.8968596,1
May,40.6344828,-73.9188516,1
May,40.672669,-73.9900142,1
May,40.6819859,-73.8497633,1
May,40.6880907,-73.7357083,1
May,40.7214535,-73.8439779,1
May,40.7317311,-73.8511269,1
May,40.7446461,-73.7703999,1
May,40.7456688,-73.7924903,1
May,40.7472378,-73.7728721,1
May,40.7686857,-73.9066698,1
May,40.7823164,-73.9485012,1
May,40.7908949,-73.9451685,1
May,40.8036997,-73.9358171,1
May,40.9063395,-73.8964918,1
June,40.5438696,-74.1444428,1
June,40.5842341,-73.9320426,1
June,40.5921838,-73.9244048,1
June,40.6230538,-74.1132634,1
June,40.666396,-73.7517593,1
June,40.6670811,-73.810322,1
June,40.6741459,-74.006006,1
June,40.6879384,-73.7896266,1
June,40.6969863,-73.9352238,1
June,40.7007255,-73.9419319,1
June,40.7184964,-73.73531,1
June,40.7518951,-73.7798059,1
June,40.7518951,-73.7798059,1
June,40.7553365,-73.8432452,1
June,40.757233,-73.976047,1
June,40.8198214,-73.8128465,1
June,40.8349176,-73.8941239,1
July,40.5955618,-73.7471003,1
July,40.5957763,-73.9882217,1
July,40.6012042,-74.0650758,1
July,40.6059572,-74.0063852,1
July,40.6198737,-73.9652647,1
July,40.6244417,-73.9303914,1
July,40.6292495,-74.1232208,1
July,40.642134,-73.9293532,1
July,40.6669713,-73.7912968,1
July,40.68424,-73.8460949,1
July,40.6892276,-73.9846967,1
July,40.7037643,-73.9426145,1
July,40.7076601,-73.9134352,1
July,40.7168018,-73.8080991,1
July,40.7196229,-73.9113201,1
July,40.7374593,-73.7410827,1
July,40.7404431,-74.0020208,1
July,40.7486146,-73.8746312,1
July,40.7613564,-73.9353886,1
July,40.7829958,-73.7993323,1
July,40.7858664,-73.9509287,1
July,40.7945801,-73.9737005,1
July,40.7999588,-73.9605259,1
July,40.8058094,-73.9707438,1
July,40.8710047,-73.8938386,1
August,40.6066705,-73.9725897,1
August,40.6092524,-73.9690411,1
August,40.6664134,-73.7881226,1
August,40.6664134,-73.7881226,1
August,40.6691002,-73.9366568,1
August,40.6984191,-73.8010546,1
August,40.7100939,-73.9897886,1
August,40.7146219,-73.9011579,1
August,40.7157016,-73.9557817,1
August,40.7343335,-73.8579913,1
August,40.7429082,-73.8393082,2
August,40.7636677,-73.8230246,1
August,40.7711224,-73.8696353,1
August,40.7763189,-73.962125,1
August,40.7904014,-73.82344,1
August,40.7942333,-73.9469462,1
August,40.8468472,-73.8324971,1
September,40.6184997,-74.0395757,1
September,40.6451307,-73.9489638,1
September,40.6670937,-73.7637567,2
September,40.6813829,-73.953515,1
September,40.6857804,-73.9543917,1
September,40.7107873,-73.9599439,1
September,40.7206259,-73.9949711,1
September,40.7366908,-73.9931187,1
September,40.7376906,-73.7684572,1
September,40.7401843,-73.986363,1
September,40.7451526,-73.7343116,1
September,40.7653202,-73.8890397,1
September,40.7885324,-73.9532091,1
September,40.7914379,-73.9759878,1
September,40.7970036,-73.9377739,1
September,40.8106084,-73.8835492,1
September,40.8221447,-73.8878132,1
September,40.8280693,-73.8729662,2
September,40.8284182,-73.860674,1
September,40.8532485,-73.8352807,1
September,40.854677,-73.8436509,1
September,40.8952213,-73.8800407,1
October,40.6127337,-74.0117129,1
October,40.619132,-73.9901807,1
October,40.6219409,-73.917516,1
October,40.6840525,-73.9774579,1
October,40.6916677,-73.7623859,1
October,40.699531,-73.9110367,1
October,40.7165417,-73.9969843,1
October,40.7180184,-73.9999567,1
October,40.7303695,-73.9138714,1
October,40.7422007,-73.8409528,1
