Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
Spain,43,25,37,52,85,170,193,115,102,133,311,271,511,243,248,250,378,745,1235,1473,3522,4442,2192,3188,3934,4076,5397,12626,18936,42084,54675,33093,31512,23373
Austria,9,36,38,39,20,26,56,86,90,85,101,211,139,189,70,44,295,316,283,862,1701,1293,1698,1191,1257,1131,1934,1987,2745,3301,5740,3137,5252,7083
Finland,52,46,61,15,29,26,31,73,62,125,137,129,85,143,492,341,753,1132,2610,2963,2708,-124,-753,1409,4297,1497,3595,5278,18647,6605,22572,8362,7622,-7370
Denmark,29,52,148,98,8,79,64,161,33,86,94,139,82,150,289,255,646,618,792,2187,1482,1852,2236,1373,4162,3070,2518,4209,4477,16943,26558,13374,5686,1158
Australia,112,104,129,259,245,160,266,266,236,343,461,733,697,521,1407,1879,3327,5115,5823,2814,994,1200,5276,1949,2821,3284,7086,6448,3352,-688,829,12228,7576,15108
Sweden,213,176,265,293,430,434,596,737,415,618,625,825,1360,1523,1558,1827,3948,4790,7471,10286,14746,7055,409,1358,6701,11215,5026,12648,24370,21928,40662,6380,10683,17375
Japan,355,360,723,1904,2012,1763,1991,1645,2371,2898,2385,4894,4540,3612,5965,6452,14480,19519,34210,44130,48024,31638,17304,13913,18121,22630,23428,25993,24152,22743,31558,38333,32281,28800
France,374,397,595,935,555,1338,1638,1003,1901,1987,3095,4549,2849,1713,2119,2243,5231,8701,12758,18063,36233,25132,30406,19732,24373,15755,30421,35584,48611,126856,177449,86767,49434,57279
Italy,114,406,221,276,203,343,159,560,160,538,740,1392,969,2022,1882,1736,2456,2094,4703,2160,7394,7534,4148,7329,5239,7024,8697,10414,12407,6722,12316,21472,17123,9121
Canada,931,458,81,1166,1357,1252,1004,1631,2278,3824,4098,5548,2402,2632,3685,3862,3501,7120,6225,5266,5237,5834,3591,5702,9294,11462,13096,23069,34358,17247,44675,36113,26409,21542
Germany,1070,1199,1807,1962,2131,2178,2609,2418,3940,5017,4702,4478,3019,3668,4655,5298,10560,9680,12087,15180,24235,22938,18599,17196,18859,39049,50804,41797,88823,108692,56557,36855,8622,2560
Netherlands,1317,1319,1640,2117,2789,2519,2353,3038,3386,6282,5918,4527,3263,3835,4844,2705,4093,8044,6820,13716,13658,12825,12697,10063,17553,20182,32119,24494,36669,57610,75635,47968,34554,36092
United Kingdom,1678,1988,2017,4981,4376,3001,4338,4173,6815,12539,7881,9386,3707,5302,7733,11068,17294,31309,37206,35164,17948,16409,17739,26033,32199,43562,34047,61586,122816,201451,233371,58855,35180,55093
United States,7590,7618,7747,11353,9052,14244,11949,11400,16225,26493,19230,13227,1078,9525,13045,13388,19641,30154,18599,37604,30982,32696,42647,77247,73252,92074,84426,95769,131004,209391,142626,124873,115340,151884
