Country,year,FDI Outflows
Spain,1970,43
Austria,1970,9
Finland,1970,52
Denmark,1970,29
Australia,1970,112
Sweden,1970,213
Japan,1970,355
France,1970,374
Italy,1970,114
Canada,1970,931
Germany,1970,1070
Netherlands,1970,1317
United Kingdom,1970,1678
United States,1970,7590
Spain,1971,25
Austria,1971,36
Finland,1971,46
Denmark,1971,52
Australia,1971,104
Sweden,1971,176
Japan,1971,360
France,1971,397
Italy,1971,406
Canada,1971,458
Germany,1971,1199
Netherlands,1971,1319
United Kingdom,1971,1988
United States,1971,7618
Spain,1972,37
Austria,1972,38
Finland,1972,61
Denmark,1972,148
Australia,1972,129
Sweden,1972,265
Japan,1972,723
France,1972,595
Italy,1972,221
Canada,1972,81
Germany,1972,1807
Netherlands,1972,1640
United Kingdom,1972,2017
United States,1972,7747
Spain,1973,52
Austria,1973,39
Finland,1973,15
Denmark,1973,98
Australia,1973,259
Sweden,1973,293
Japan,1973,1904
France,1973,935
Italy,1973,276
Canada,1973,1166
Germany,1973,1962
Netherlands,1973,2117
United Kingdom,1973,4981
United States,1973,11353
Spain,1974,85
Austria,1974,20
Finland,1974,29
Denmark,1974,8
Australia,1974,245
Sweden,1974,430
Japan,1974,2012
France,1974,555
Italy,1974,203
Canada,1974,1357
Germany,1974,2131
Netherlands,1974,2789
United Kingdom,1974,4376
United States,1974,9052
Spain,1975,170
Austria,1975,26
Finland,1975,26
Denmark,1975,79
Australia,1975,160
Sweden,1975,434
Japan,1975,1763
France,1975,1338
Italy,1975,343
Canada,1975,1252
Germany,1975,2178
Netherlands,1975,2519
United Kingdom,1975,3001
United States,1975,14244
Spain,1976,193
Austria,1976,56
Finland,1976,31
Denmark,1976,64
Australia,1976,266
Sweden,1976,596
Japan,1976,1991
France,1976,1638
Italy,1976,159
Canada,1976,1004
Germany,1976,2609
Netherlands,1976,2353
United Kingdom,1976,4338
United States,1976,11949
Spain,1977,115
Austria,1977,86
Finland,1977,73
Denmark,1977,161
Australia,1977,266
Sweden,1977,737
Japan,1977,1645
France,1977,1003
Italy,1977,560
Canada,1977,1631
Germany,1977,2418
Netherlands,1977,3038
United Kingdom,1977,4173
United States,1977,11400
Spain,1978,102
Austria,1978,90
Finland,1978,62
Denmark,1978,33
Australia,1978,236
Sweden,1978,415
Japan,1978,2371
France,1978,1901
Italy,1978,160
Canada,1978,2278
Germany,1978,3940
Netherlands,1978,3386
United Kingdom,1978,6815
United States,1978,16225
Spain,1979,133
Austria,1979,85
Finland,1979,125
Denmark,1979,86
Australia,1979,343
Sweden,1979,618
Japan,1979,2898
France,1979,1987
Italy,1979,538
Canada,1979,3824
Germany,1979,5017
Netherlands,1979,6282
United Kingdom,1979,12539
United States,1979,26493
Spain,1980,311
Austria,1980,101
Finland,1980,137
Denmark,1980,94
Australia,1980,461
Sweden,1980,625
Japan,1980,2385
France,1980,3095
Italy,1980,740
Canada,1980,4098
Germany,1980,4702
Netherlands,1980,5918
United Kingdom,1980,7881
United States,1980,19230
Spain,1981,271
Austria,1981,211
Finland,1981,129
Denmark,1981,139
Australia,1981,733
Sweden,1981,825
Japan,1981,4894
France,1981,4549
Italy,1981,1392
Canada,1981,5548
Germany,1981,4478
Netherlands,1981,4527
United Kingdom,1981,9386
United States,1981,13227
Spain,1982,511
Austria,1982,139
Finland,1982,85
Denmark,1982,82
Australia,1982,697
Sweden,1982,1360
Japan,1982,4540
France,1982,2849
Italy,1982,969
Canada,1982,2402
Germany,1982,3019
Netherlands,1982,3263
United Kingdom,1982,3707
United States,1982,1078
Spain,1983,243
Austria,1983,189
Finland,1983,143
Denmark,1983,150
Australia,1983,521
Sweden,1983,1523
Japan,1983,3612
France,1983,1713
Italy,1983,2022
Canada,1983,2632
Germany,1983,3668
Netherlands,1983,3835
United Kingdom,1983,5302
United States,1983,9525
Spain,1984,248
Austria,1984,70
Finland,1984,492
Denmark,1984,289
Australia,1984,1407
Sweden,1984,1558
Japan,1984,5965
France,1984,2119
Italy,1984,1882
Canada,1984,3685
Germany,1984,4655
Netherlands,1984,4844
United Kingdom,1984,7733
United States,1984,13045
Spain,1985,250
Austria,1985,44
Finland,1985,341
Denmark,1985,255
Australia,1985,1879
Sweden,1985,1827
Japan,1985,6452
France,1985,2243
Italy,1985,1736
Canada,1985,3862
Germany,1985,5298
Netherlands,1985,2705
United Kingdom,1985,11068
United States,1985,13388
Spain,1986,378
Austria,1986,295
Finland,1986,753
Denmark,1986,646
Australia,1986,3327
Sweden,1986,3948
Japan,1986,14480
France,1986,5231
Italy,1986,2456
Canada,1986,3501
Germany,1986,10560
Netherlands,1986,4093
United Kingdom,1986,17294
United States,1986,19641
Spain,1987,745
Austria,1987,316
Finland,1987,1132
Denmark,1987,618
Australia,1987,5115
Sweden,1987,4790
Japan,1987,19519
France,1987,8701
Italy,1987,2094
Canada,1987,7120
Germany,1987,9680
Netherlands,1987,8044
United Kingdom,1987,31309
United States,1987,30154
Spain,1988,1235
Austria,1988,283
Finland,1988,2610
Denmark,1988,792
Australia,1988,5823
Sweden,1988,7471
Japan,1988,34210
France,1988,12758
Italy,1988,4703
Canada,1988,6225
Germany,1988,12087
Netherlands,1988,6820
United Kingdom,1988,37206
United States,1988,18599
Spain,1989,1473
Austria,1989,862
Finland,1989,2963
Denmark,1989,2187
Australia,1989,2814
Sweden,1989,10286
Japan,1989,44130
France,1989,18063
Italy,1989,2160
Canada,1989,5266
Germany,1989,15180
Netherlands,1989,13716
United Kingdom,1989,35164
United States,1989,37604
Spain,1990,3522
Austria,1990,1701
Finland,1990,2708
Denmark,1990,1482
Australia,1990,994
Sweden,1990,14746
Japan,1990,48024
France,1990,36233
Italy,1990,7394
Canada,1990,5237
Germany,1990,24235
Netherlands,1990,13658
United Kingdom,1990,17948
United States,1990,30982
Spain,1991,4442
Austria,1991,1293
Finland,1991,-124
Denmark,1991,1852
Australia,1991,1200
Sweden,1991,7055
Japan,1991,31638
France,1991,25132
Italy,1991,7534
Canada,1991,5834
Germany,1991,22938
Netherlands,1991,12825
United Kingdom,1991,16409
United States,1991,32696
Spain,1992,2192
Austria,1992,1698
Finland,1992,-753
Denmark,1992,2236
Australia,1992,5276
Sweden,1992,409
Japan,1992,17304
France,1992,30406
Italy,1992,4148
Canada,1992,3591
Germany,1992,18599
Netherlands,1992,12697
United Kingdom,1992,17739
United States,1992,42647
Spain,1993,3188
Austria,1993,1191
Finland,1993,1409
Denmark,1993,1373
Australia,1993,1949
Sweden,1993,1358
Japan,1993,13913
France,1993,19732
Italy,1993,7329
Canada,1993,5702
Germany,1993,17196
Netherlands,1993,10063
United Kingdom,1993,26033
United States,1993,77247
Spain,1994,3934
Austria,1994,1257
Finland,1994,4297
Denmark,1994,4162
Australia,1994,2821
Sweden,1994,6701
Japan,1994,18121
France,1994,24373
Italy,1994,5239
Canada,1994,9294
Germany,1994,18859
Netherlands,1994,17553
United Kingdom,1994,32199
United States,1994,73252
Spain,1995,4076
Austria,1995,1131
Finland,1995,1497
Denmark,1995,3070
Australia,1995,3284
Sweden,1995,11215
Japan,1995,22630
France,1995,15755
Italy,1995,7024
Canada,1995,11462
Germany,1995,39049
Netherlands,1995,20182
United Kingdom,1995,43562
United States,1995,92074
