Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.56936585,65.98802439,66.36553659,66.71397561,67.04429268,67.3697561,67.699,68.03468293,68.37714634,68.72841463,69.08614634,69.44609756,69.79865854,70.13965854,70.46529268,70.77780488,71.08082927,71.37770732,71.66978049,71.95285366,72.22014634,72.46234146,72.67319512,72.84902439,72.9897561,73.09797561,73.17936585,73.24270732,73.2962439,73.3444878,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58943902,73.61480488,73.64229268,73.67539024,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37570732,74.5262439,74.67421951,74.81614634,74.95202439,75.08039024,75.2067561,75.33217073,,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,31.58004878,32.09597561,32.61187805,33.12731707,33.6412439,34.15368293,34.66312195,35.17007317,35.67202439,36.16997561,36.65943902,37.13941463,37.60887805,38.06934146,38.52329268,38.97026829,39.41073171,39.84770732,40.29068293,40.74817073,41.23365854,41.76063415,42.33560976,42.96304878,43.6444878,44.37990244,45.16880488,45.99721951,46.85014634,47.71158537,48.56704878,49.40456098,50.21312195,50.9852439,51.70939024,52.37507317,52.97278049,53.5084878,53.99219512,54.43287805,54.84856098,55.25621951,55.67187805,56.10756098,56.56973171,57.05843902,57.57065854,58.09136585,58.60709756,59.11234146,59.60009756,60.06536585,60.50912195,60.93141463,,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.98482927,33.38621951,33.78758537,34.18846341,34.59034146,34.99221951,35.39509756,35.79997561,36.20585366,36.6102439,37.01512195,37.42102439,37.82692683,38.22682927,38.61378049,38.97580488,39.301,39.58136585,39.81585366,40.00539024,40.1592439,40.28865854,40.408,40.5282439,40.65395122,40.77778049,40.8874878,40.97387805,41.03770732,41.08765854,41.13834146,41.20634146,41.31302439,41.47819512,41.7162439,42.05146341,42.50163415,43.06212195,43.71426829,44.439,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464,51.86617073,,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.25436585,63.27346341,64.16285366,64.88709756,65.43819512,65.82739024,66.08931707,66.28721951,66.47495122,66.68160976,66.93258537,67.23887805,67.58595122,67.95795122,68.34834146,68.74121951,69.1155122,69.45617073,69.7542439,70.00965854,70.23597561,70.45446341,70.68512195,70.93739024,71.20653659,71.47121951,71.69756098,71.86195122,71.95329268,71.97858537,71.95731707,71.91841463,71.90080488,71.93585366,72.04195122,72.23602439,72.52741463,72.89809756,73.32658537,73.79339024,74.27207317,74.73421951,75.15795122,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,77.35046341,77.5372439,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.74067149,47.36800833,47.9842105,48.59209015,49.19220957,49.78083124,50.35066536,50.89961912,51.43048715,51.95135761,52.47400664,53.01386769,53.57953525,54.17155186,54.78451189,55.40965068,56.03569505,56.65347938,57.26249233,57.87004876,58.48839927,59.129009,59.79506084,60.48126764,61.17204626,61.84992751,62.49501908,63.09241042,63.63233642,64.11189938,64.62570559,65.00167323,65.29119174,65.62356247,65.95948936,66.33717076,66.64932681,66.94745484,67.21345876,67.46442632,67.67854538,67.87702172,68.05807453,68.22981798,68.40875695,68.59121058,68.78735349,68.98531579,69.17849741,69.37120207,69.56064834,69.73832617,69.91267786,70.08592474,,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.24321951,53.28656098,54.327,55.3635122,56.39258537,57.40570732,58.39185366,59.34046341,60.24404878,61.09858537,61.90104878,62.65495122,63.36631707,64.04312195,64.68890244,65.30514634,65.89334146,66.454,66.98860976,67.49717073,67.98319512,68.44517073,68.88409756,69.3014878,69.69831707,70.07663415,70.43639024,70.77812195,71.10482927,71.418,71.72063415,72.0137561,72.29934146,72.57790244,72.85192683,73.12190244,73.38782927,73.64973171,73.90558537,74.15790244,74.40568293,74.64946341,74.88921951,75.1244878,75.35573171,75.58195122,75.80012195,76.01121951,76.2147561,76.41070732,76.59860976,76.781,76.95787805,77.13129268,,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.21553659,65.3385122,65.43260976,65.50939024,65.58241463,65.66868293,65.7822439,65.93002439,66.1134878,66.33509756,66.59082927,66.87312195,67.16795122,67.46531707,67.75865854,68.04795122,68.33670732,68.62943902,68.92663415,69.22431707,69.5144878,69.78665854,70.03531707,70.257,70.45419512,70.63139024,70.79907317,70.9677561,71.14590244,71.33753659,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66460976,72.88531707,73.10397561,73.32007317,73.53412195,73.74565854,73.95368293,74.15878049,74.35995122,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756,75.66356098,75.83860976,76.01268293,76.18729268,,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.86346341,66.28439024,66.70985366,67.13785366,67.56541463,67.99153659,68.41473171,68.8304878,69.22926829,69.60004878,69.92426829,70.18287805,70.36734146,70.47965854,70.52634146,70.53192683,70.52941463,70.54290244,70.58297561,70.64126829,70.68453659,70.66160976,70.5355122,70.29014634,69.93568293,69.5,69.02429268,68.56756098,68.18209756,67.8995122,67.74780488,67.73829268,67.85334146,68.06956098,68.37665854,68.76356098,69.21685366,69.71641463,70.24021951,70.76709756,71.27653659,71.75565854,72.2022439,72.61097561,72.97492683,73.28856098,73.54982927,73.76463415,73.94387805,74.09304878,74.21965854,74.33219512,74.43721951,74.5407561,,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.78273171,62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60607317,73.81339024,74.01921951,74.22204878,74.42185366,74.61609756,74.80478049,74.98687805,75.16241463,75.33390244,75.50036585,75.66531707,75.82929268,,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.19756098,,
