"RegionName","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09"
"United States",35.27,34.01,34.14,34.86,33.49,32.76,32.77,32.13,30.64,30.21,29.62,30.46,29.86,30.06,28.92,27.1,27.49,26.11,25.52,24.96,25.14,25.06,24.87,22.91,23.64,23.57,23.63,23.54,22.73,22.01,22,21.38,21.07,21.6,20.99,20.9,20.94,20.62,20.29,20.15,20.21,20.17,19.86,19.65,20.22,19.4,19.87,21.1,20.71,20.64,20.94,21.04,21.43,20.99,20.95,21.47,21.76,22.57,22.81,21.42,22.58,22.95,22.78,22.1,21.14,20.19,18.46,18.67,17.64,18.1,17.93,17.6,17.29,17.16,17.18,17.51,17.91,17.74,16.91,16.79,17.14,17.71,17.63,17.58,17.43,17.07,16.23,15.64,16.09,15.16,15.55,15.27,15.13,14.73,14.49,14.51,14.59,14.85,14.66,14.56,14.64,14.68,14.79,14.71,10.99,11.27,11.8,12.68,13.55,14.58,15.7,16.76,18.09,19.84,22.01,24.45,27.5,30.59,33.7,36.45,38.51,40.73,42.7,44.49,46.34,48.12,49.81,51.56,53.47,55.41,57.48,59.82,62.31,65.04,67.33,69.41,70.99,72.49,73.82,74.9,75.81,76.72,77.63,73.99,72.7,71.71,71.11,70.6,70.09,69.43,68.49,67.29,65.78,63.64,61.25,63.29,63.46,62.8,61.66,60.2,59.37,59.76,60.61,62,63.66,65.28,66.82,67.96,69.13,70.16,71.22,72.09,72.61,72.17,71.43,70.12,68.58,67.03,64.99,62.66,60.24,57.1,54.19,50.71,47.02,43.65,40.66,38.18,36.25,34.61,33.29,32.17,30.89,29.46,28,26.54,24.97,23.46,22.27,21.59,20.53,19.8,19.53,19.03,18.76,18.6,20.41,23.53,26.39,28.65,30.61,32.32,34.15,35.37,36.49,37.91,37.39,36.56,33.64,31.72,30.34,29.35,28.17,27.64
"New York, NY",39.91,35.81,33.53,38.25,33.98,31.52,33.13,31.35,32.02,30.2,30.94,33.63,31.35,34.08,33.27,29.8,34.23,27.56,26.87,25.43,25.73,27.54,26.99,23.68,23.28,22.32,22.85,21.66,22.95,20.82,19.55,19.25,19.36,18.61,17.84,18.29,18.46,17.35,17.8,17.29,16.98,16.36,15.98,17.72,16.07,15.52,14.73,15.33,13.83,14.68,15.1,15.76,17.25,17.16,17.29,16.93,16.05,17.23,16.73,19.61,20.74,19.24,19.21,18.31,16.99,16.55,4.06,10.92,8.07,6.51,4.97,4.53,4.47,5.44,6.08,10.94,11.52,12.16,9.06,6.96,7.92,10.96,11.87,12.82,12.75,11.31,8.14,6.28,5.86,5.03,8.03,5.09,5.31,4.56,5.04,3.78,3.73,4.04,3.42,3.71,3.44,3.44,2.98,3.35,6.28,6.17,6.34,6.59,6.91,7.75,8.82,9.83,11.5,13.17,15.45,18.09,23.2,28.99,34.94,39.9,43.38,46.28,49.52,52.45,54.84,58.06,60.74,62.59,64.34,64.91,65.7,66.54,67.77,70.53,72.56,75.43,77.43,78.67,79.44,80.93,81.99,83.25,84.47,83.37,83.36,83.28,83.54,83.27,82.89,82.4,81.66,80.38,78.58,75.95,72.81,75.12,74.01,71.74,68.24,64.64,61.05,58.17,57.03,57.25,58.79,60.65,62.27,63.4,65.05,66.18,68.59,71.08,72.75,74.02,74.36,74.56,75.03,75.6,75.72,75.88,76.02,75.68,74.14,72.15,69.28,66.58,63.35,59.73,56.57,53.16,49.89,47.3,44.29,41.32,38.66,35.5,32.04,29.52,27.33,25.87,23.88,22.35,22.06,21.24,20.79,20.04,19.93,22.14,24.55,26.47,28.02,29.7,31.63,33.42,35.09,37.27,37.63,37.15,36.15,37.27,39.13,39.49,38.67,37.94
"Los Angeles-Long Beach-Anaheim, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.72,1.52,1.52,1.58,1.82,2.18,2.7,3.44,4.75,7.87,11.45,17.47,25.4,34.62,40.98,45.16,50.03,54.96,59.96,67.77,73.42,77.53,80.4,82.31,83.77,85.09,86.96,89.06,90.88,92.75,93.86,94.47,94.9,95.37,95.54,95.68,95.8,95.76,95,94.14,92.49,91.03,89.79,88.38,86,83.08,80.2,76.73,72.78,67.78,65.62,62.31,56.89,53.8,49.96,48.43,49.32,50.84,52.88,56.13,58.06,61.57,64.5,67.54,70.22,72.35,74.53,75.37,74.37,74.04,73.61,72.12,72.46,71.11,70.52,66.23,63.1,57.97,50.9,43.99,37,30.56,25.58,21.07,17.2,14.2,10.36,8.02,5.75,4.2,3.28,2.6,2.22,2.05,1.92,2.07,2.4,2.83,3.4,3.72,4.24,4.62,6.83,9.68,12.71,15.72,18.78,21.85,23.99,25.79,26.96,26.12,25,21.67,19.12,15.98,15.64,14.68,14.93
"Chicago, IL",39.66,35.78,37.77,36.78,37.88,36.52,37.18,36.31,35.23,34.69,34.39,33.88,36.56,34.69,35.24,34.93,33.43,31.77,28.43,27.25,28.41,28.82,27,26.74,27.14,29.33,28.02,26.14,25.45,23.91,22.98,21.38,21.48,19.12,18.12,16.63,17.18,16.84,18.33,18.32,18.41,17.75,16.96,16.71,16.06,16.35,16.52,15.57,14.7,15.87,14.45,13.96,12.86,12.78,12.78,12.82,12.66,12.94,13.95,15.02,17.26,17.16,19.45,19.24,19.28,18.23,11.16,10.5,10.6,10.35,9.71,8.96,8.66,6.63,8.61,8.71,4.64,12.39,11.14,11.46,11.66,11.91,12.53,14.27,14.7,19.18,13.57,12.66,35.35,11.1,11.51,11.58,11.64,11.7,11.18,9.53,8.53,9.13,8.06,8.3,8.1,7.47,7.15,7.11,4.37,4.74,5.06,7.15,7.51,8.35,8.73,9.22,9.98,10.85,12.21,13.23,15.34,17.28,20.19,23.48,25.12,28.34,31.28,35.28,38.97,42.34,45.65,48.96,52.73,55.53,58.43,61.99,66.11,68.91,72.38,73.25,75.22,77.47,79.47,80.44,81.74,84.25,86.52,85.52,85.2,84.72,84.03,84.34,84.19,83.48,82.9,82.6,81.68,80.05,78.15,81.63,81.84,81.91,80.92,79.54,78.58,78.68,78.99,80.24,82.26,83.73,83.16,83.51,84.34,83.63,85.85,87.48,88.33,88.54,88.37,88.15,87.7,87.02,86.99,86.47,85.45,84.76,82.56,79.26,75.65,70.99,67.59,63.94,59.29,55.43,51.99,48.62,43.75,40.27,37.61,34.28,29.91,25.95,22.58,19.88,17.55,15.83,15.55,14.86,14.67,15.02,16.61,19.65,23.16,26.66,29.01,31.31,33.62,35.55,37.61,40.31,41.83,42.23,41.3,39.67,38.86,37.4,37.74,38.35
"Dallas-Fort Worth, TX",15.46,17.32,17.38,18.05,13.15,14.39,18.33,15.48,25.73,28.16,32.77,41.38,41.96,42.87,35.31,28.19,28.69,30.73,30.27,37.39,25.31,28.79,32.99,13.51,13.69,10.58,11.59,16.04,15.58,14.36,16.44,12.58,16.76,14.39,13.61,23.67,39.67,32.82,30.41,27.88,27.7,25.47,22.09,19.47,17.54,25.26,23.76,15.22,11.11,10.51,13.09,13.64,15.7,14.85,15.83,16.8,18.38,17.04,17.4,21.7,29.55,29.54,29.13,27.17,26.47,25.27,22.57,23.51,22.73,25.94,27.74,28.67,28.3,31.43,30.32,30.33,34.04,34.3,34.57,36.42,36.66,42.15,40.12,18.32,17.09,15.73,18.14,17.1,15.6,15.31,14.5,15.87,18.09,15.54,13.76,27.39,29.97,31.9,32.68,29.48,32.25,32.63,33.4,32.5,20.64,21.53,22.02,23.66,23.52,23.8,24.03,23.79,23.2,22.98,22.45,22.13,22.16,22.09,21.31,21.97,22.48,23.3,23.39,23.82,24.34,25.3,26.23,27.04,27.09,26.97,28.52,34.41,41.41,48.35,54.83,60.97,65.62,68.91,72.13,74.32,77.48,80.22,82.57,82.44,80.78,79.08,78.17,77.05,76.85,77.03,77.82,78.38,77.47,76.04,74.91,73.25,67.82,63.56,58.46,55.03,53.06,53.63,53.36,54.26,56.51,57.66,59.13,61.35,64.23,63.03,64.5,65.59,66.09,66.73,66.88,66.75,64.97,64.22,61.96,58.32,56.07,54.67,51.02,46.54,42.11,37.66,34.36,30.64,28.51,25.33,22.8,21.2,19.33,16.95,13.79,11.94,10.35,8.99,7.76,7.38,7.02,7.67,8.05,7.51,7.53,7.45,7.1,8.91,10.93,12.56,14.16,15.27,16.1,14.01,13.73,14.27,12.45,11,8.02,6.13,4.92,4.31,4.13,4.24
"Philadelphia, PA",39,44.16,43.98,45.48,44.44,41.49,42.82,41.71,36.77,32.03,32.92,38.22,35.16,32.72,32.98,29.72,31.5,29.5,29.12,28.45,29.39,31.12,29.66,32.91,35.55,36.33,35.16,34.85,33.36,32.67,31.88,31.09,30.76,29.32,31.29,28.43,28.77,27.29,25.39,25.53,23.32,23.35,22.57,23,24.33,23.31,22,23.11,25.61,27.79,26.22,26.52,27.93,27.96,27.1,27.47,25.28,27.87,26.79,26.04,25,22.76,23.36,21.23,19.43,17.61,11.65,10.76,11.1,11.4,10.07,11.25,9.62,9.45,9.15,8.53,8.16,7.85,7.1,7.89,6.72,6.72,8.12,6.81,7.35,5.98,5.81,5.21,5.43,4.51,4.86,4.2,4.27,4.3,3.79,3.96,4.07,4.47,4.11,3.82,4.17,4.71,4.75,4.77,3.46,3.98,4,4.21,4.22,4.66,5.13,5.43,5.92,6.83,8.07,9.91,13.08,17.02,20.82,23.14,25.08,27.53,29.63,32,34.5,36.98,39.58,42.04,44.18,45.31,47.34,51.11,54.44,57.93,61.25,63.65,65.68,67.4,68.68,69.43,69.58,70.47,70.74,69.16,67.84,66.82,66.52,67.04,67.24,67.36,67.2,66.49,65.39,61.88,59.71,61.76,62.5,62.87,61.63,59.69,58.43,59.43,61.72,64.88,68.33,72.2,74.08,74.41,74.82,75.23,77.55,79.69,81.74,81.81,80.99,79.93,78.78,77.63,76.52,74.93,73.83,72.01,70.1,68.46,65.8,63.09,60.48,58.05,56.98,54.89,52.53,52.02,50.89,49.05,46.56,43.55,40.45,37.36,35.11,34.3,31.79,30.67,29.63,28.19,27.06,26.51,24.3,24.68,26.6,27.84,29.41,30.96,33.57,35.67,38.13,40.11,40.78,41.04,42.83,44.58,45.51,46.04,45.53,44.63
"Washington, DC",51.9,47.94,50.99,49.22,47.9,46.6,46.75,47.14,40.94,39.41,40.41,35.26,35.3,39.76,33.24,33.75,33.68,32.75,32.96,32.06,31.57,35.69,35.04,32.5,30.33,25.75,28.13,26.93,23.79,23.39,21.68,19.61,22.33,18.99,18.22,20.31,21.17,20.24,18.6,17.44,18.21,16.93,16.81,16.76,13.1,12.99,12.24,12.19,11.75,11.39,11.6,11.39,11.85,10.19,9.77,10.54,10.89,11.49,12,11.47,11.42,12.23,12.81,12.21,11.14,9.62,3.8,3.77,3.77,3.71,2.5,2.45,2.73,2.88,3.29,3.62,3.96,3.45,2.66,2.3,2.1,2.37,2.29,1.88,1.65,1.56,1.45,1.06,0.8,0.87,1.28,1.68,1.59,1.61,1.65,1.79,1.88,1.69,2.42,2.41,2.93,3,2.74,2.84,0.97,0.94,1.07,1.29,1.63,2.31,3.76,6.94,13.19,23.17,33.25,41.58,48.04,53.3,57.63,60.26,62.09,64.05,65.88,67.23,68.8,71.01,73.61,75.17,76.68,78.82,81.51,84.26,87.2,90.23,92.04,93.35,94.23,94.74,95.21,95.44,95.42,95.27,95.03,93.77,92.77,91.51,90.28,88.55,86.79,84.66,82.01,78.87,74.95,70.5,65.68,66.15,64.61,62.15,59.01,54.6,51.08,48.43,47.44,48.48,51.01,53.57,55.06,55.74,56.91,54.47,55.45,57.23,58.39,57.86,57.03,55.23,53.31,51.49,49.94,47.65,45.5,45.45,42.11,38.79,34.9,32.56,30.15,28.35,26.22,23.85,22.11,20.52,18.23,16.12,14.46,12.27,10.9,9.32,8.35,7.59,6.95,7.12,6.93,6.74,7.04,7.37,7.06,9.1,12.05,15.01,19.72,24.73,29.48,32.92,36.77,40.62,41.74,41.2,40.85,41.39,42.35,43.13,41.22,39.26
"Miami-Fort Lauderdale, FL",45.82,43.44,41.24,45.45,43.06,40.65,41.84,41.9,38.52,39.79,37.08,35.42,33.23,32.54,32.67,29.88,31.23,31.16,27.86,27.27,28.14,26.99,29.44,27.66,30.97,28.23,28.32,28.52,26.55,26.38,25.84,26.34,24.16,25.6,21.81,21.88,20.6,19.87,17.95,17.45,16.88,16.31,15.78,14.19,13.87,12.46,12.95,11.43,11.02,11.42,10.56,9.91,9.54,8.77,7.82,8.01,7.18,7.37,7.76,6.83,7.11,7.2,7.69,7.43,6.89,6.78,4.31,4.22,4.44,4.26,4.05,4.2,4.22,4.15,4.09,3.99,4.3,4.33,4.67,4.72,4.56,4.51,4.37,4.17,3.87,3.7,3.55,3.16,2.59,2.26,1.95,1.78,1.64,1.58,1.4,1.2,1.07,0.97,0.87,0.67,0.62,0.56,0.55,0.55,0.22,0.22,0.25,0.36,0.44,0.49,0.65,1,1.93,3.65,7.17,12.49,19.11,27,34.07,39.29,44.51,49.9,55.37,60.94,65.51,69.46,73.41,76.78,80.34,84.31,87.21,89.63,92.37,95.01,96.54,97.36,97.98,98.3,98.57,98.85,98.96,99.04,99.16,98.32,97.41,96.57,95.77,95.19,94.74,94.61,94.44,93.4,92,89.83,87.09,87.86,87.38,84.85,81.78,77.89,75.7,73.37,70.99,72.59,73.93,75.37,76.71,77.48,77.61,77.32,76.99,77.89,77.67,77.33,76.32,73.61,68.68,65.41,61.24,56.95,52.62,48.06,43.08,37.37,32.88,27.21,23.55,20.26,18.93,17.33,15.35,13.87,12.63,11.47,10.63,9.74,8.94,8.28,8.06,8.07,6.64,6.59,6.65,6.25,6.3,6.44,6.19,7.77,9.06,10.22,11.45,12.66,15.9,17.1,18.85,20.66,21.34,21.71,18.25,16.23,16.16,16.82,16.36,16.67
"Atlanta, GA",27.25,28.01,24.93,26.77,24.05,23.59,20.3,20.91,20.29,22.68,21.49,20.76,22.04,22.39,20.69,18.69,20.22,18.77,17.91,17.72,17.59,17.39,17.55,14.26,14.41,14.91,14.69,14.59,13.11,12.68,13.42,12.55,12.51,12.52,13.33,11.87,11.73,13.24,12.98,14.51,14.52,15.84,14.82,16.05,16.26,16.57,15.99,18.83,19.44,19.43,20.73,20.31,19.52,19.59,19.46,19.61,21,21.52,23.24,23.11,23.02,24.3,24.22,25.25,25.21,25.56,21.75,21.36,20.81,23.27,23.49,23.42,24.95,26.58,25.69,26.31,29.2,27.56,27.07,26.84,29.41,26.85,25.61,28.1,28.05,25.09,25.47,24.16,24.81,23.62,22.31,24.1,22.69,23.75,22.47,21.77,19.31,22.09,19.77,19.51,20.16,20.27,20.5,19.96,13.83,13.98,14.08,14.76,14.75,15.46,15.86,16,15.82,15.98,16.5,16.81,18.19,19.92,22.37,26.64,30.97,32.76,33.44,34.46,37.27,39.87,42.51,45.25,48.34,52.14,55.43,54.44,55.53,59.35,64.14,69.51,72.93,76.17,79.85,83.56,85.55,88,89.79,88.19,86.38,85.24,84.96,84.3,83.87,83.41,81.97,80.18,78.82,75.11,72.54,76.44,77.6,77.38,76.56,75.34,74.76,75.36,76.92,78.1,78.9,79.97,80.64,81.36,83.4,83.91,84.72,86.12,86.53,86.49,85.81,85.26,83.94,82.87,79.75,76.74,73.81,71.37,67.68,63.27,60.26,55.9,51.99,48.34,45.95,43.8,42.59,41.2,37.68,34.18,31.04,27.77,24.16,21.01,18.01,16.14,14.38,12.34,11.48,10.83,10.79,10.69,9.49,10.22,12.1,13.75,16.08,18.11,20.5,23.29,25.34,27.12,27.2,26.66,23.56,22.12,22.26,22.85,22.71,23.31
"Boston, MA",22.8,21.35,19.52,17.69,18.51,15.6,16.49,16.55,12.4,11.45,9.5,9.99,9.69,9.32,7.92,7.03,6.39,5.37,5.71,5.37,6.14,5.77,6.44,5.32,4.92,5.21,4.69,4.84,4.4,3.79,3.24,3.03,3.18,3.48,3.46,4.76,2.75,2.32,2.54,2.39,2.15,1.93,2.18,2.1,1.92,1.43,1.58,1.09,1.32,1.5,1.53,1.58,1.99,2.02,1.7,1.77,2.62,3.03,4.26,5.22,5.51,6.11,5.66,5.58,4.37,4.1,3.78,4.18,3.06,2.89,2.42,2.98,4.67,4.71,6.31,5.93,10.36,12.01,13.17,12.61,14.3,15.5,14.16,14.25,10.01,8.88,6.45,6.64,5.47,5.03,5.08,5.15,6.36,6.69,7.63,8.11,10.26,9.04,7.81,8.1,9.28,10.12,13.14,12.58,8.52,11.26,16.41,22.89,30.33,37.17,44.12,52.55,59.51,66.03,71.37,76.49,80.36,82.51,82.61,82.67,81.78,81.65,81.98,80.6,79.83,78.47,77.63,76.26,74.78,73.9,73.79,74.87,77.58,81.17,83.61,85.1,85.46,85.68,84.86,84.85,85.25,85.36,86.81,86.58,85.66,83.71,81.28,78.44,74.93,70.89,67.85,63.28,58.78,53.17,46.97,43.7,40.96,37.68,35.41,33.48,33.59,35.46,38.78,42.63,45.88,51.77,55.2,56.5,58.22,59.1,60.63,62.86,64.35,65.88,65.02,64.7,63.98,61.56,60.08,58.68,55.07,51.95,48.01,42.58,38.13,33.16,30.04,27.46,25.64,23.45,21.38,18.87,17.31,14.87,13.05,11.54,9.63,8.23,7.06,6.23,5.77,5.34,4.96,4.75,4.53,5,4.55,5.43,7.26,9.96,13.87,17.93,20.59,23.49,27.88,32.2,28.78,23.87,19.27,18.81,18.64,18.37,12.87,9.76
