RegionName,latitude,longitude
United States,37.09024,-95.712891
"New York, NY",40.7127837,-74.0059413
"Los Angeles-Long Beach-Anaheim, CA",33.8421173,-118.0296521
"Chicago, IL",41.8781136,-87.6297982
"Dallas-Fort Worth, TX",32.7554883,-97.3307658
"Philadelphia, PA",39.9525839,-75.1652215
"Washington, DC",38.9071923,-77.0368707
"Miami-Fort Lauderdale, FL",26.0993883,-80.1343301
"Atlanta, GA",33.7489954,-84.3879824
"Boston, MA",42.3600825,-71.0588801
"San Francisco, CA",37.7749295,-122.4194155
"Detroit, MI",42.331427,-83.0457538
"Riverside, CA",33.9533487,-117.3961564
"Phoenix, AZ",33.4483771,-112.0740373
"Seattle, WA",47.6062095,-122.3320708
"Minneapolis-St Paul, MN",44.9716692,-93.2806134
"San Diego, CA",32.715738,-117.1610838
"St. Louis, MO",38.6270025,-90.19940419999999
"Tampa, FL",27.950575,-82.4571776
"Baltimore, MD",39.2903848,-76.6121893
"Denver, CO",39.7392358,-104.990251
"Pittsburgh, PA",40.44062479999999,-79.9958864
"Portland, OR",45.5230622,-122.6764816
"Charlotte, NC",35.2270869,-80.8431267
"Sacramento, CA",38.5815719,-121.4943996
"Orlando, FL",28.5383355,-81.3792365
"Cincinnati, OH",39.1031182,-84.5120196
"Cleveland, OH",41.49932,-81.6943605
"Las Vegas, NV",36.1699412,-115.1398296
"Columbus, OH",39.9611755,-82.99879419999999
"San Jose, CA",37.3382082,-121.8863286
"Virginia Beach, VA",36.8529263,-75.97798499999999
"Nashville, TN",36.1626638,-86.7816016
"Providence, RI",41.8239891,-71.4128343
"Milwaukee, WI",43.0389025,-87.9064736
"Jacksonville, FL",30.3321838,-81.65565099999999
"Memphis, TN",35.1495343,-90.0489801
"Oklahoma City, OK",35.4675602,-97.5164276
"Hartford, CT",41.76371109999999,-72.6850932
"Richmond, VA",37.5407246,-77.4360481
"New Orleans, LA",29.95106579999999,-90.0715323
"Raleigh, NC",35.7795897,-78.6381787
"Rochester, NY",43.16103,-77.6109219
"Grand Rapids, MI",42.9633599,-85.6680863
"Tucson, AZ",32.2217429,-110.926479
"Urban Honolulu, HI",21.4587,-158.010197
"Tulsa, OK",36.1539816,-95.99277500000001
"Fresno, CA",36.7468422,-119.7725868
"Worcester, MA",42.2625932,-71.8022934
"Stamford, CT",41.0534302,-73.5387341
"Albany, NY",42.6525793,-73.7562317
"New Haven, CT",41.308274,-72.9278835
"Bakersfield, CA",35.3732921,-119.0187125
"Knoxville, TN",35.9606384,-83.9207392
"Greenville, SC",34.85261759999999,-82.3940104
"Ventura, CA",34.274646,-119.2290316
"Allentown, PA",40.6084305,-75.4901833
"Dayton, OH",39.7589478,-84.1916069
"Columbia, SC",34.0007104,-81.0348144
"Greensboro, NC",36.0726354,-79.7919754
"Akron, OH",41.0814447,-81.51900529999999
"North Port-Sarasota-Bradenton, FL",27.044224,-82.2359254
"Little Rock, AR",34.7464809,-92.28959479999999
"Stockton, CA",37.9577016,-121.2907796
"Charleston, SC",32.7764749,-79.93105120000001
"Colorado Springs, CO",38.8338816,-104.8213634
"Winston-Salem, NC",36.09985959999999,-80.244216
"Springfield, MA",42.1014831,-72.589811
"Fort Myers, FL",26.640628,-81.8723084
"Toledo, OH",41.6639383,-83.55521200000001
"Madison, WI",43.0730517,-89.4012302
"Lakeland, FL",28.0394654,-81.9498042
"Daytona Beach, FL",29.2108147,-81.0228331
"Des Moines, IA",41.6005448,-93.6091064
