RegionName,Time,Rent,Sales
"New York, NY",2011-09,2175,506600
"New York, NY",2011-10,2175,505300
"New York, NY",2011-11,2250,504400
"New York, NY",2011-12,2250,503400
"New York, NY",2012-01,2250,502200
"New York, NY",2012-02,2300,502400
"New York, NY",2012-03,2350,503100
"New York, NY",2012-04,2395,503800
"New York, NY",2012-05,2400,506400
"New York, NY",2012-06,2400,509900
"New York, NY",2012-07,2400,513200
"New York, NY",2012-08,2450,517600
"New York, NY",2012-09,2450,522800
"New York, NY",2012-10,2495,527300
"New York, NY",2012-11,2495,530500
"New York, NY",2012-12,2500,532400
"New York, NY",2013-01,2489.5,535400
"New York, NY",2013-02,2550,542700
"New York, NY",2013-03,2500,551500
"New York, NY",2013-04,2550,557200
"New York, NY",2013-05,2600,560200
"New York, NY",2013-06,2600,563500
"New York, NY",2013-07,2549.5,568500
"New York, NY",2013-08,2575,575100
"New York, NY",2013-09,2600,583600
"New York, NY",2013-10,2631,594200
"New York, NY",2013-11,2550,603800
"New York, NY",2013-12,2550,610400
"New York, NY",2014-01,2500,618000
"New York, NY",2014-02,2550,623800
"New York, NY",2014-03,2550,637100
"New York, NY",2014-04,2550,661900
"New York, NY",2014-05,2595,685100
"New York, NY",2014-06,2565,695300
"New York, NY",2014-07,2195,699000
"New York, NY",2014-08,2145,698200
"New York, NY",2014-09,2150,698800
"New York, NY",2014-10,2150,707400
"New York, NY",2014-11,2125,721300
"New York, NY",2014-12,2100,733300
"New York, NY",2015-01,2095,740800
"New York, NY",2015-02,2100,748200
"New York, NY",2015-03,2100,753300
"New York, NY",2015-04,2200,755300
"New York, NY",2015-05,2200,759100
"New York, NY",2015-06,2125,766100
"New York, NY",2015-07,2150,773400
"New York, NY",2015-08,2150,782300
"New York, NY",2015-09,2195,789500
"Chicago, IL",2010-03,1100,199700
"Chicago, IL",2010-04,1150,198700
"Chicago, IL",2010-05,1100,197200
"Chicago, IL",2010-06,1100,195400
"Chicago, IL",2010-07,1000,193600
"Chicago, IL",2010-08,995,191900
"Chicago, IL",2010-09,1127.5,189900
"Chicago, IL",2010-10,1250,187700
"Chicago, IL",2010-11,1255,185600
"Chicago, IL",2010-12,1279.5,183500
"Chicago, IL",2011-01,1150,181400
"Chicago, IL",2011-02,1214.5,180200
"Chicago, IL",2011-03,1200,179300
"Chicago, IL",2011-04,1225,177600
"Chicago, IL",2011-05,1245,175200
"Chicago, IL",2011-06,1310,172800
"Chicago, IL",2011-07,1287,170600
"Chicago, IL",2011-08,1250,168300
"Chicago, IL",2011-09,1275,165900
"Chicago, IL",2011-10,1250,163500
"Chicago, IL",2011-11,1225,161700
"Chicago, IL",2011-12,1295,160900
"Chicago, IL",2012-01,1298,161000
"Chicago, IL",2012-02,1235,160900
"Chicago, IL",2012-03,1195,160700
"Chicago, IL",2012-04,1150,160900
"Chicago, IL",2012-05,1200,161300
"Chicago, IL",2012-06,1270,161000
"Chicago, IL",2012-07,1255,160700
"Chicago, IL",2012-08,1250,160900
"Chicago, IL",2012-09,1300,161300
"Chicago, IL",2012-10,1380,161700
"Chicago, IL",2012-11,1325,162000
"Chicago, IL",2012-12,1375,162600
"Chicago, IL",2013-01,1350,163900
"Chicago, IL",2013-02,1495,165500
"Chicago, IL",2013-03,1395,167200
"Chicago, IL",2013-04,1446,169300
"Chicago, IL",2013-05,1470,171900
"Chicago, IL",2013-06,1500,175300
"Chicago, IL",2013-07,1510,178700
"Chicago, IL",2013-08,1525,181500
"Chicago, IL",2013-09,1500,184500
