,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
0,26,JY576sTpB3ljay2IAajZ2w,Hero Board,"with mozzarella, tomato, basil",Grilled Chicken,1,/menu/milano-market-new-york/item/grilled-chicken,24.99,Milano Market,1,/menu/milano-market-new-york/item/grilled-chicken#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/bESPoJ2bJQUzokhdAX_EIw/180s.jpg
2,76,JY576sTpB3ljay2IAajZ2w,The Meatless,"roasted red & green peppers, caramelized onions, melted gruyere, tomatoes, avocado, hummus, herb mayo, toasted rosemary focaccia",Eggplant,1,/menu/milano-market-new-york/item/eggplant,[Per Person: 10.70],Milano Market,3,/menu/milano-market-new-york/item/eggplant#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/eqITWg63xb_8_Y-iuhjGPg/180s.jpg
3,95,JY576sTpB3ljay2IAajZ2w,Signature Platters,"on semolina bread with fresh melted mozzarella & tomato, fresh basil & pesto",Grilled Chicken,1,/menu/milano-market-new-york/item/grilled-chicken-2,,Milano Market,1,/menu/milano-market-new-york/item/grilled-chicken-2#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/bESPoJ2bJQUzokhdAX_EIw/180s.jpg
4,96,JY576sTpB3ljay2IAajZ2w,Signature Platters,"2 slices prosciutto di parma, fresh mozzarella and roasted peppers & basil",Grilled Chicken,1,/menu/milano-market-new-york/item/grilled-chicken-3,,Milano Market,1,/menu/milano-market-new-york/item/grilled-chicken-3#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/bESPoJ2bJQUzokhdAX_EIw/180s.jpg
5,97,JY576sTpB3ljay2IAajZ2w,Signature Platters,"prosciutto cotto, fresh mozzarella, avocado, tomato and basil",Grilled Chicken,1,/menu/milano-market-new-york/item/grilled-chicken-4,,Milano Market,1,/menu/milano-market-new-york/item/grilled-chicken-4#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/bESPoJ2bJQUzokhdAX_EIw/180s.jpg
6,113,8lLs3dsSN-Am2_EtNfbXqA,Bowls,"bean sprouts, carrot, cucumber, radicchio, peanuts, cilantro & mint, sesame lime dressing, served over warm brown rice",Rice Bowl,5,/menu/community-food-and-juice-new-york/item/rice-bowl,"[: 10.00, With Marinated, Gril…: 10.00, With Grilled Chicken: 10.00, With Wild King Salmon: 10.00]",Community Food & Juice,66,/menu/community-food-and-juice-new-york/item/rice-bowl#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/ga4tPh-21b5J9BwRvIE6Yg/180s.jpg
7,121,8lLs3dsSN-Am2_EtNfbXqA,Mains,"sesame crusted organic salmon, sautéed chinese chives and shitakes, sweet & spicy chili soy glaze, over braised baby bok choy",Organic Salmon,1,/menu/community-food-and-juice-new-york/item/organic-salmon,22.00,Community Food & Juice,2,/menu/community-food-and-juice-new-york/item/organic-salmon#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/M-brrTqUI5egrhOJjLAOeQ/180s.jpg
8,125,8lLs3dsSN-Am2_EtNfbXqA,Mains,"from prince edward island, with butter, chilies, and a garlic aioli crouton. can be prepared gluten free",Sake Steamed Mussels,1,/menu/community-food-and-juice-new-york/item/sake-steamed-mussels,14.00,Community Food & Juice,2,/menu/community-food-and-juice-new-york/item/sake-steamed-mussels#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/a8pqG1EBSKe0neYOUHUfXQ/180s.jpg
9,126,8lLs3dsSN-Am2_EtNfbXqA,Mains,"caramelized onion sand vermont cabot white cheddar, with hand cut fries. can be prepared gluten free",Natural Grass Fed Beef Burger,2,/menu/community-food-and-juice-new-york/item/natural-grass-fed-beef-burger,14.00,Community Food & Juice,6,/menu/community-food-and-juice-new-york/item/natural-grass-fed-beef-burger#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/-u7AuLoPKZp68SNoDKlkZQ/180s.jpg
10,149,LJuHxobQsa7lW0c1wttY2A,Starters,with white remoulade sauce,Fried Crawfish Tails,2,/menu/rack-and-soul-new-york/item/fried-crawfish-tails,8.95,Rack & Soul,1,/menu/rack-and-soul-new-york/item/fried-crawfish-tails#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/Og7CxqoavPVl479VvBrcng/180s.jpg
11,150,LJuHxobQsa7lW0c1wttY2A,Starters,jumbo lump crabmeat served with roasted tomato salsa,Sauteed Crabcakes,1,/menu/rack-and-soul-new-york/item/sauteed-crabcakes,13.95,Rack & Soul,1,/menu/rack-and-soul-new-york/item/sauteed-crabcakes#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/PWT2CJWRBeRJONu4w3SX9g/180s.jpg
12,160,LJuHxobQsa7lW0c1wttY2A,Dinner Entrees,,Fried Chicken,5,/menu/rack-and-soul-new-york/item/fried-chicken,18.95,Rack & Soul,65,/menu/rack-and-soul-new-york/item/fried-chicken#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/iHDNCCEG5ySvlqmK0YmN5w/180s.jpg
13,165,LJuHxobQsa7lW0c1wttY2A,Dinner Entrees,,Bbq Baby Back Ribs,1,/menu/rack-and-soul-new-york/item/bbq-baby-back-ribs,"[Quarter Rack (4 Ribs): 19.95, Half Rack(6-7 Ribs): 19.95]",Rack & Soul,11,/menu/rack-and-soul-new-york/item/bbq-baby-back-ribs#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/feQeNCl0BPLKm0n_fnhL1w/180s.jpg
14,170,LJuHxobQsa7lW0c1wttY2A,Dinner Entrees,"choose two: quarter rack of baby back ribs, pulled pork, bbq chicken wings (3), fried chicken (2)",Combo Platter,1,/menu/rack-and-soul-new-york/item/combo-platter,22.95,Rack & Soul,13,/menu/rack-and-soul-new-york/item/combo-platter#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/Fga9Y7KdrHJFDJBtmax7Dw/180s.jpg
15,173,LJuHxobQsa7lW0c1wttY2A,Po' Boy Sandwiches,with coleslaw and bbq sauce,Pulled Pork Po' Boy,1,/menu/rack-and-soul-new-york/item/pulled-pork-po-boy,12.95,Rack & Soul,3,/menu/rack-and-soul-new-york/item/pulled-pork-po-boy#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/9ILcPvMibG0QsxnGhqZvQg/180s.jpg
16,181,LJuHxobQsa7lW0c1wttY2A,Sides,,Collard Greens,2,/menu/rack-and-soul-new-york/item/collard-greens,4.95,Rack & Soul,17,/menu/rack-and-soul-new-york/item/collard-greens#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/feQeNCl0BPLKm0n_fnhL1w/180s.jpg
17,188,LJuHxobQsa7lW0c1wttY2A,Sides,,Macaroni & Cheese,1,/menu/rack-and-soul-new-york/item/macaroni-and-cheese,4.95,Rack & Soul,2,/menu/rack-and-soul-new-york/item/macaroni-and-cheese#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/2H5hr9Xg_JI2JPbnSuz1bg/180s.jpg
