,business1,business2,distance,rank,latitude,longitude,latitude_similar,longitude_similar,name,stars,url
0,-6ncX3fnQ9OLCjfiUe-kFg,-6ncX3fnQ9OLCjfiUe-kFg,-2.220446049250313e-16,1,40.807975769,-73.9643707275,40.807975769,-73.9643707275,Ollie's,2.0,http://www.yelp.com/biz/ollies-new-york
4237,-6ncX3fnQ9OLCjfiUe-kFg,froxnvO6lVnzrTBS4p_W_g,0.3197284285368073,2,40.807975769,-73.9643707275,40.80458529999999,-73.9665367,Five Guys Burgers and Fries,3.0,http://www.yelp.com/biz/five-guys-burgers-and-fries-new-york-7
1044,-6ncX3fnQ9OLCjfiUe-kFg,D3Sw_VHsaQGYdQjsZDv-Nw,0.3292920789308663,3,40.807975769,-73.9643707275,40.8048651,-73.96633620000001,Empanada Joe's,1.5,http://www.yelp.com/biz/empanada-joes-new-york
3429,-6ncX3fnQ9OLCjfiUe-kFg,YKAwpTnKO-n5vB9-pqaCLQ,0.3312357065469007,4,40.807975769,-73.9643707275,40.8014968,-73.9651708,Taqueria Y La Fonda,3.5,http://www.yelp.com/biz/taqueria-y-la-fonda-new-york
115,-6ncX3fnQ9OLCjfiUe-kFg,0Kcuy_vyfWlAetDgdmIy3g,0.3661704733627874,5,40.807975769,-73.9643707275,40.80568770000001,-73.9623835,John Jay Dining Hall,2.0,http://www.yelp.com/biz/john-jay-dining-hall-new-york
5768,-6ncX3fnQ9OLCjfiUe-kFg,yQk97Xh9kBZOrE3vWFB79g,0.4096563896092208,6,40.807975769,-73.9643707275,40.80481279999999,-73.9665756,Wrapp Factory,3.0,http://www.yelp.com/biz/wrapp-factory-new-york
363,-6ncX3fnQ9OLCjfiUe-kFg,4rWJGwb3rjDoZHA0AECa5A,0.4234454881557616,7,40.807975769,-73.9643707275,40.803313,-73.95682790000001,Melba's,3.5,http://www.yelp.com/biz/melbas-new-york
5433,-6ncX3fnQ9OLCjfiUe-kFg,vQTMu1jkFZUIkb_EmYPa9w,0.4237637936673335,8,40.807975769,-73.9643707275,40.803635,-73.963849,Cinco De Mayo Restaurant,2.5,http://www.yelp.com/biz/cinco-de-mayo-restaurant-new-york
2629,-6ncX3fnQ9OLCjfiUe-kFg,PQrCluMVsWTGvloynpKBog,0.4701583771174605,9,40.807975769,-73.9643707275,40.800714,-73.965906,The Neighborhood,3.5,http://www.yelp.com/biz/the-neighborhood-manhattan-2
3786,-6ncX3fnQ9OLCjfiUe-kFg,b2d8CP6sKQotFjzZX0Thtw,0.47076324886014603,10,40.807975769,-73.9643707275,40.802109200000004,-73.956872,Szechuan Garden Kitchen,3.5,http://www.yelp.com/biz/szechuan-garden-kitchen-new-york
1016,-6ncX3fnQ9OLCjfiUe-kFg,CWk6yFOoKJH5URub5XsHDg,0.4770053202776552,11,40.807975769,-73.9643707275,40.800818,-73.96741999999999,East Dumpling House,3.5,http://www.yelp.com/biz/east-dumpling-house-new-york
3320,-6ncX3fnQ9OLCjfiUe-kFg,XCzjwOmvy_QROtczP8YlCA,0.4954816139618589,12,40.807975769,-73.9643707275,40.8013336,-73.9648744,Domino's Pizza,3.0,http://www.yelp.com/biz/dominos-pizza-new-york-21
145,-6ncX3fnQ9OLCjfiUe-kFg,1Ps3-IJycqFpR0uyii2HRQ,0.5182321405697691,13,40.807975769,-73.9643707275,40.80268710000001,-73.96704820000001,Quick & Quality Sandwich,4.0,http://www.yelp.com/biz/quick-and-quality-sandwich-manhattan
3984,-6ncX3fnQ9OLCjfiUe-kFg,cu5oiIleLVa5eXH6X27KMw,0.5246180382398414,14,40.807975769,-73.9643707275,40.8007695,-73.9657004,Wai Lee Chinese Restaurant,3.5,http://www.yelp.com/biz/wai-lee-chinese-restaurant-new-york
3409,-6ncX3fnQ9OLCjfiUe-kFg,Y2I946V78wOdwaUD9chmqg,0.5410370820440198,15,40.807975769,-73.9643707275,40.8025174,-73.9641953,Roti Roll - Bombay Frankie,4.0,http://www.yelp.com/biz/roti-roll-bombay-frankie-new-york
5384,-6ncX3fnQ9OLCjfiUe-kFg,v13Ur9Yf2EhvGlvPAaFNeQ,0.5555603412175356,16,40.807975769,-73.9643707275,40.80522,-73.9663939,Vareli,4.0,http://www.yelp.com/biz/vareli-new-york
3762,-6ncX3fnQ9OLCjfiUe-kFg,ahr0chRA-xpmq2xV_gnb3w,0.5572725114556838,17,40.807975769,-73.9643707275,40.811107,-73.958314,Saga,3.0,http://www.yelp.com/biz/saga-new-york-4
570,-6ncX3fnQ9OLCjfiUe-kFg,75Q-TMhx81R1yfXSGaMcTQ,0.5591456822334726,18,40.807975769,-73.9643707275,40.806058,-73.9563392,PerryBrook Foods,5.0,http://www.yelp.com/biz/perrybrook-foods-manhattan
1937,-6ncX3fnQ9OLCjfiUe-kFg,JCeKdD3GcqEiIpS1hGTqlQ,0.5800894681178872,19,40.807975769,-73.9643707275,40.8067625,-73.9649422,Local Flavor Burrito Shop,3.0,http://www.yelp.com/biz/local-flavor-burrito-shop-new-york
4496,-6ncX3fnQ9OLCjfiUe-kFg,kg8_LyP0TvxkcTxP8d0riw,0.5828319146386489,20,40.807975769,-73.9643707275,40.8088229,-73.95215209999999,Pizzeria 123,3.0,http://www.yelp.com/biz/pizzeria-123-new-york
4076,-6ncX3fnQ9OLCjfiUe-kFg,eVZGBIWAmQxiTwVYA0pjWA,0.5962275671939351,21,40.807975769,-73.9643707275,40.799721999999996,-73.962932,Little Gujrat Deli,3.0,http://www.yelp.com/biz/little-gujrat-deli-new-york
5094,-6ncX3fnQ9OLCjfiUe-kFg,rGEeBgbztKbFDh4kum8x1w,0.5993675381288535,22,40.807975769,-73.9643707275,40.8035873,-73.9634146,Columbia Cottage,3.0,http://www.yelp.com/biz/columbia-cottage-new-york
1692,-6ncX3fnQ9OLCjfiUe-kFg,IRQmUno4GQMvEDifCXO-cw,0.6001857706199296,23,40.807975769,-73.9643707275,40.8139944,-73.95970729999999,China Place,2.0,http://www.yelp.com/biz/china-place-new-york
1264,-6ncX3fnQ9OLCjfiUe-kFg,EtHDmvirGVYBXX3kUmQQrQ,0.6077432807317815,24,40.807975769,-73.9643707275,40.801889,-73.956847,5 & Diamond,3.5,http://www.yelp.com/biz/5-and-diamond-new-york
931,-6ncX3fnQ9OLCjfiUe-kFg,BcVx7vnk1CivTpB45SYDUg,0.6104179915574919,25,40.807975769,-73.9643707275,40.805601,-73.96527990000001,Campo,3.0,http://www.yelp.com/biz/campo-new-york
